EDE	Lot_x_Time	Lot	Time	Vache	velage	DIM	semlact	Date	RACE	SEVRAGE	S3	SEXE VEAU	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA_totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	igG_Matin 	igG_soir	Lacto_Matin	Lacto_soir	id
9747	NA	M	7	7628	31/03/2019	46	6.571429	16/05/2019	Mo	11/06/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	345	390	39.756	63.186	
9755	NA	M	7	5611	09/04/2019	51	7.285714	30/05/2019	Ho	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	375	685	98.887	69.591	
9759	NA	M	7	3161	14/04/2019	46	6.571429	30/05/2019	Ho	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	430	390	63.525	9.667	
9764	NA	M	7	2604	18/04/2019	42	6.000000	30/05/2019	Mo	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310	285	188.820	48.262	
9769	NA	M	7	5635	21/04/2019	53	7.571429	13/06/2019	Ho	09/07/2019	28/05/2019	MF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	465	NA	203.000	NA	
9770	NA	M	7	2646	22/04/2019	52	7.428571	13/06/2019	Mo	09/07/2019	28/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	323	326	235.000	382.000	
9722	NA	M	9	6614	12/02/2019	65	9.285714	18/04/2019	Ho	30/04/2019	19/03/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	430	440	64.984	39.727	
9727	NA	M	9	4168	26/02/2019	65	9.285714	02/05/2019	Ho	14/05/2019	02/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	435	NA	72.795	55.956	
9728	NA	M	9	6742	27/02/2019	64	9.142857	02/05/2019	Ho	14/05/2019	02/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200	255	162.365	139.532	
9747	NA	M	9	7628	31/03/2019	60	8.571429	30/05/2019	Mo	11/06/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305	250	93.000	179.000	
9755	NA	M	9	5611	09/04/2019	65	9.285714	13/06/2019	Ho	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	330	198	329.000	396.000	
