id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	EDE_vache	Race	Sexe	Date_naissance	Date_reelle_passage_parc_mere	S3	Date_sevrage_reel	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	velage	DIM	igG_Matin	Lactoferrin_Matin	igG_soir	Lactoferrin_soir
19LIB028-19MET488	9749T-10sem	9749	temoin	10	10	temoin_10	rumen	no	4180	Ho	F	02-avr-19	10-avr-19	30-avr-19	25-juin-19	41,48	11,38	0,26	6,11	0,27	0,64	0,04	75,271	0,669454372	0,266085212	0,004184879	0,004184879	0,003494042	0,986624374	0,144690491	NA	NA	NA	NA	NA	NA
19LIB028-19MET489	9750P-10sem	9750	panache	10	10	panache_10	rumen	no	6640	Ho	F	03-avr-19	09-avr-19	30-avr-19	11-juin-19	75,54	17,48	0,44	12,13	0,79	0,69	0,05	107,1215	0,705194569	0,163132518	0,004121488	0,004121488	0,007384139	0,980580439	0,285044335	NA	NA	NA	NA	NA	NA
19LIB028-19MET490	9751T-10sem	9751	temoin	10	10	temoin_10	rumen	no	3154	Ho	M - Fem	06-avr-19	12-avr-19	30-avr-19	25-juin-19	50,39	20,03	0,32	3,58	0,26	0,66	0,04	78,6005	0,697489202	0,144502898	0,005731516	0,005731516	0,010706039	1,02653919	0,328713132	NA	NA	NA	NA	NA	NA
19LIB028-19MET491	9755M-10sem	9755	mere	10	10	mere_10	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	14-mai-19	25-juin-19	4,39	1,17	0,01	0,22	0,02	0,03	0	5,825	0,7527897	0,200171674	0,000858369	0,000858369	0,003004292	0,04118016	0	NA	NA	NA	NA	NA	NA
19LIB028-19MET492	9756P-10sem	9756	panache	10	10	panache_10	rumen	no	4165	Ho	F	11-avr-19	17-avr-19	14-mai-19	25-juin-19	58,77	11,46	0,3	7,27	0,68	0,37	0,1	78,9525	0,744428612	0,145087236	0,003831418	0,003831418	0,008593775	0,499040464	0,716810127	NA	NA	NA	NA	NA	NA
19LIB028-19MET493	9757P-10sem	9757	panache	10	10	panache_10	rumen	no	5722	Ho	F	11-avr-19	17-avr-19	14-mai-19	09-juil-19	51,04	10,47	0,69	7,33	1	0,42	0,05	70,999	0,718834068	0,14748095	0,009718447	0,009718447	0,014014282	0,582888345	0,369539251	NA	NA	NA	NA	NA	NA
19LIB028-19MET494	9759M-10sem	9759	mere	10	10	mere_10	rumen	no	3161	Ho	F	14-avr-19	21-avr-19	14-mai-19	25-juin-19	40,57	10,09	0,42	3,02	0,46	0,26	0	54,8155	0,740082641	0,184081145	0,007716795	0,007716795	0,008309693	0,352663318	0,005432387	NA	NA	NA	NA	NA	NA
19LIB028-19MET495	9763P-10sem	9763	panache	10	10	panache_10	rumen	no	4633	Mo	F	18-avr-19	23-avr-19	14-mai-19	09-juil-19	62,37	12,55	0,77	13,31	1,15	0,94	0,3	91,3945	0,682464481	0,137333209	0,008474252	0,008474252	0,012544519	1,38322217	2,169904872	NA	NA	NA	NA	NA	NA
19LIB028-19MET496	9764M-10sem	9764	mere	10	10	mere_10	rumen	no	2604	Mo	F	19-avr-19	24-avr-19	14-mai-19	25-juin-19	21,72	5,53	0,23	1,56	0,29	0,17	0,01	29,501	0,736127589	0,187383479	0,007847192	0,007847192	0,009745432	0,228221306	0,032019899	NA	NA	NA	NA	NA	NA
19LIB028-19MET497	9725P-13sem	9725	panache	13	13	panache_13	rumen	no	5690	Ho	F	22-févr-19	01-mars-19	19-mars-19	14-mai-19	36,31	9,69	0,27	3,79	0,25	0,25	0,01	50,568	0,71809247	0,191524284	0,005408559	0,005408559	0,004963613	0,343966843	0,03654889	22/02/2019	97	310	319	315	151
19LIB028-19MET498	9769M-10sem	9769	mere	10	10	mere_10	rumen	no	5635	Ho	M-Fem	22-avr-19	28-avr-19	28-mai-19	09-juil-19	73,56	16,7	0,5	9,93	0,58	0,51	0,1	101,874	0,722063529	0,163942714	0,004883484	0,004883484	0,00571294	0,707001502	0,594719935	NA	NA	NA	NA	NA	NA
19LIB028-19MET499	9770M-10sem	9770	mere	10	10	mere_10	rumen	no	2646	Mo	F	22-avr-19	28-avr-19	28-mai-19	09-juil-19	23,73	8,08	0,08	2,37	0,04	0,24	0	34,539	0,687107328	0,23392397	0,002345175	0,002345175	0,001056776	0,352928851	0	NA	NA	NA	NA	NA	NA
19LIB028-19MET500	9774T-10sem	9774	temoin	10	10	temoin_10	rumen	no	5699	Ho	M-Fem	26-avr-19	04-mai-19	28-mai-19	09-juil-19	54,82	11,36	0,45	10,36	0,84	0,72	0,05	83,7265	0,697234448	0,167808281	0,008061964	0,008061964	0,014601112	1,452165772	4,037345463	NA	NA	NA	NA	NA	NA
19LIB028-19MET501	2342T-10sem	2342	temoin	10	10	temoin_10	rumen	no	5651	Ho	M-Fem	05-mai-19	16-mai-19	28-mai-19	09-juil-19	44,42	9,51	0,48	6,68	0,68	0,54	0,06	46,0965	0,702439448	0,180979033	0,00880761	0,00880761	0,010901045	0,570155906	0,497295175	NA	NA	NA	NA	NA	NA
19LIB028-19MET502	9721T-13sem	9721	temoin	13	13	temoin_13	rumen	no	6722	Ho	F	12-févr-19	21-févr-19	19-mars-19	30-avr-19	79,5	19,65	0,56	12,5	0,74	0,83	0,13	113,917	0,697885302	0,172472063	0,004920249	0,004920249	0,00653546	1,195755229	0,74794722	NA	NA	NA	NA	NA	NA
19LIB028-19MET503	9722M-13sem	9722	mere	13	13	mere_13	rumen	no	6614	Ho	F	12-févr-19	18-févr-19	19-mars-19	30-avr-19	58,38	14,05	0,68	7,71	1,22	1,01	0,68	83,7265	0,697234448	0,167808281	0,008061964	0,008061964	0,014601112	1,452165772	4,037345463	12/02/2019	93	755	71	685	
19LIB028-19MET504	9755M-13sem	9755	mere	13	13	mere_13	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	14-mai-19	25-juin-19	52,49	17,11	0,42	4,86	0,53	0,59	0,11	76,1175	0,689539199	0,224810326	0,005465235	0,005465235	0,00701547	0,86071974	0,507094144	09/04/2019	93	295	304	330	240
19LIB028-19MET505	9727M-13sem	9727	mere	13	13	mere_13	rumen	no	4168	Ho	F	27-févr-19	04-mars-19	02-avr-19	14-mai-19	63,08	16,08	0,45	8,41	0,82	0,84	0,13	89,798	0,702432125	0,179035168	0,005005679	0,005005679	0,009081494	1,199404141	0,712150588	26/02/2019	93	335	51	325	55
19LIB028-19MET506	9732P-13sem 1	9732	panache	13	13	panache_13	rumen	no	6718	Ho	F	04-mars-19	10-mars-19	02-avr-19	11-juin-19	69,6	13,82	0,56	7,77	0,66	0,39	0,13	92,927	0,74895886	0,148724267	0,006058519	0,006058519	0,007091588	0,516049707	0,887548497	04/03/2019	87	265	19	255	34
19LIB028-19MET507	9732P-13sem 2	9732	panache	13	13	panache_13	rumen	yes	6718	Ho	F	04-mars-19	10-mars-19	02-avr-19	11-juin-19	69,6	13,82	0,56	7,77	0,66	0,39	0,13	92,927	0,74895886	0,148724267	0,006058519	0,006058519	0,007091588	0,516049707	0,887548497	04/03/2019	87	265	19	255	34
19LIB028-19MET508	9728M-13sem	9728	mere	13	13	mere_13	rumen	no	6742	Ho	F	27-févr-19	05-mars-19	02-avr-19	14-mai-19	73,48	25,55	0,39	11	1,01	1,06	0,27	112,761	0,651674781	0,226612038	0,003489682	0,003489682	0,008934827	1,630414481	1,173812312	27/02/2019	92	310	82	330	65
19LIB028-19MET509	9740P-13sem	9740	panache	13	13	panache_13	rumen	no	7639	Mo	F	15-mars-19	20-mars-19	16-avr-19	28-mai-19	50,97	13,59	0,4	5,55	0,61	0,47	0,07	71,6525	0,71134294	0,189630508	0,005610411	0,005610411	0,008450508	0,658613411	0,363865501	14/03/2019	91	330	336	335	355
19LIB028-19MET510	9741T-13sem	9741	temoin	13	13	temoin_13	rumen	no	6728	Mo	M - Fem	18-mars-19	27-mars-19	16-avr-19	28-mai-19	67,8	22,5	0,68	6,74	0,72	0,83	0,02	99,285	0,682847359	0,226590119	0,006833862	0,006833862	0,007297175	1,219891956	0,075025337	17/03/2019	88	345	645	420	627
19LIB028-19MET511	9751T-13sem	9751	temoin	13	13	temoin_13	rumen	no	3154	Ho	M - Fem	06-avr-19	12-avr-19	30-avr-19	25-juin-19	24,65	7,34	0,17	2,69	0,25	0,23	0,01	35,3205	0,697852522	0,207783016	0,004813069	0,004813069	0,00697895	0,323134177	0,024063565	05/04/2019	97	329	274	331	139
19LIB028-19MET512	9745T-13sem	9745	temoin	13	13	temoin_13	rumen	no	3647	Mo	M - Fem	24-mars-19	02-avr-19	16-avr-19	28-mai-19	45,81	10,7	0,46	6,02	0,5	0,28	0,05	63,8155	0,717882019	0,167616018	0,00716127	0,00716127	0,007780241	0,395608181	0,304266863	23/03/2019	82	400	526	460	534
19LIB028-19MET513	9744P-13sem	9744	panache	13	13	panache_13	rumen	no	5704	Mo	M - Fem	21-mars-19	28-mars-19	16-avr-19	28-mai-19	51,47	10,11	0,32	6,73	0,54	0,46	0,06	69,685	0,738595107	0,145045562	0,004549042	0,004549042	0,007691756	0,626188822	0,430899085	21/03/2019	84	535	100	585	90
19LIB028-19MET514	9748P-13sem 1	9748	panache	13	13	panache_13	rumen	no	7622	Mo	F	31-mars-19	06-avr-09	30-avr-19	09-juil-19	17,82	4,14	0,09	2,13	0,09	0,11	0,02	24,398	0,730428724	0,169542585	0,003770801	0,003770801	0,003606853	0,14717384	0,141557355	31/03/2019	116	NA	NA	157	382
19LIB028-19MET515	9748P-13sem 2	9748	panache	13	13	panache_13	rumen	yes	7622	Mo	F	31-mars-19	06-avr-09	30-avr-19	09-juil-19	17,82	4,14	0,09	2,13	0,09	0,11	0,02	24,398	0,710283433	0,171369497	0,005479137	0,005479137	0,006800103	0,668043175	0,460992191	31/03/2019	116	NA	NA	157	382
