id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	"EDE
vache"	Race	Sexe	Date_naissance	Date_mini_passage_parc_mère	"Date réelle
passage parc mère"	"Date de séparation => ♂ 
S3 => ♀"	"Date de vente
possible"	"Date de vente
réelle"	Date sevrage prévue (♀)	Date sevrage réelle(♀)	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	Total_VFA	Acetate%	Propionate%	Isobutyrate%	Butyrate%	Isovalerate%	Valerate%	Caproate%
19LIB028-19MET472	9774T-3sem	9774	temoin	3	3	temoin_3	rumen	no	5699	Ho	M-Fem	26-avr-19	03-mai-19	04-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	35.424	6.581	0.3545	2.004	0.496	0.2955	0.0465	45.2015	0.783690806721016	0.145592513522781	0.00784266008871387	0.00784266008871387	0.0109730871763105	0.00653739367056403	0.00102872692277911
19LIB028-19MET473	2342T-3sem	2342	temoin	3	3	temoin_3	rumen	no	5651	Ho	M-Fem	05-mai-19	11-mai-19	16-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	25.379	3.6215	0.1885	0.705	0.2935	0.1055	0	30.293	0.837784306605486	0.119549070742416	0.00622255966724986	0.00622255966724986	0.00968870696200442	0.00348265275806292	0.0
19LIB028-19MET474	9721T-10sem	9721	temoin	10	10	temoin_10	rumen	no	5651	Ho	M-Fem	05-mai-19	11-mai-19	16-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	32.38	8.3425	0.406	3.975	0.5025	0.4005	0.09	46.0965	0.702439447680409	0.180979033115312	0.00880761012224355	0.00880761012224355	0.0109010445478507	0.00868829520679444	0.00195242588916729
19LIB028-19MET475	9722M-10sem	9722	mere	10	10	mere_10	rumen	no	6614	Ho	F	12-févr-19	18-févr-19	18-févr-19	19-mars-19	-	-	30-avr-19	30-avr-19	12.2265	5.2235	0.421	1.086	0.455	0.3005	0.0125	19.725	0.619847908745247	0.264816223067174	0.0213434727503169	0.0213434727503169	0.0230671736375158	0.015234474017744	0.000633713561470216
19LIB028-19MET476	9725P-10sem	9725	panache	10	10	panache_10	rumen	no	5690	Ho	F	22-févr-19	28-févr-19	01-mars-19	19-mars-19	-	-	30-avr-19	14-mai-19	89.234	15.932	0.418	7.654	0.87	0.391	0.096	114.595	0.778690169728173	0.139028753436014	0.00364762860508748	0.00364762860508748	0.00759195427374667	0.00341201623107465	0.000837732885378943
19LIB028-19MET477	9727M-10sem	9727	mere	10	10	mere_10	rumen	no	4168	Ho	F	27-févr-19	04-mars-19	04-mars-19	02-avr-19	-	-	14-mai-19	14-mai-19	34.7805	7.1565	0.517	2.2925	1.0095	0.199	0.009	45.964	0.756690018275172	0.155697937516317	0.0112479331650857	0.0112479331650857	0.0219628404838569	0.00432947524149334	0.00019580541293186
19LIB028-19MET478	9728M-10sem	9728	mere	10	10	mere_10	rumen	no	6742	Ho	F	27-févr-19	05-mars-19	05-mars-19	02-avr-19	-	-	14-mai-19	14-mai-19	33.299	5.668	0.279	1.7755	0.421	0.138	0.031	41.6115	0.800235511817647	0.136212345144972	0.00670487725748891	0.00670487725748891	0.0101173954315514	0.00331639090155366	0.000744986361943213
19LIB028-19MET479	9732P-10sem	9732	panache	10	10	panache_10	rumen	no	6718	Ho	F	04-mars-19	10-mars-19	10-mars-19	02-avr-19	-	-	28-mai-19	11-juin-19	60.6725	11.6825	0.5465	6.437	1.014	0.325	0.0995	80.777	0.75111108360053	0.144626564492368	0.00676553969570546	0.00676553969570546	0.0125530782277133	0.00402342250888248	0.00123178627579633
19LIB028-19MET480	9740P-10sem	9740	panache	10	10	panache_10	rumen	no	7639	Mo	F	15-mars-19	20-mars-19	20-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	40.545	8.7	0.286	2.3375	0.343	0.192	0	52.4035	0.773707863024416	0.16601944526606	0.00545765072943601	0.00545765072943601	0.00654536433635158	0.00366387741276823	0.0
19LIB028-19MET481	9741T-10sem	9741	temoin	10	10	temoin_10	rumen	no	6728	Mo	M - Fem	18-mars-19	26-mars-19	27-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	28.271	7.2795	0.2255	2.8375	0.294	0.2735	0.006	39.187	0.721438232066757	0.185763135733789	0.00575445938704162	0.00575445938704162	0.00750248807002322	0.00697935539847398	0.000153112001429045
19LIB028-19MET482	9743T-10sem	9743	temoin	10	10	temoin_10	rumen	no	7641	Mo	F	19-mars-19	27-mars-19	27-mars-19	16-avr-19	-	-	28-mai-19	SORTIE	18.3785	6.4715	0.408	1.7695	0.768	1.0915	0.1885	29.0755	0.632095750717958	0.222575708070368	0.014032432804251	0.014032432804251	0.0264139911609431	0.0375401970731372	0.00648312152843459
19LIB028-19MET483	9745T-10sem	9745	temoin	10	10	temoin_10	rumen	no	3647	Mo	M - Fem	24-mars-19	31-mars-19	02-avr-19	16-avr-19	-	-	28-mai-19	28-mai-19	51.3055	12.3705	0.5005	5.0795	0.606	0.693	0.099	70.654	0.726151385625725	0.175085628556062	0.00708381691057831	0.00708381691057831	0.00857700908653438	0.00980836187618535	0.00140119455374076
19LIB028-19MET484	9744P-10sem	9744	panache	10	10	panache_10	rumen	no	5704	Mo	M - Fem	21-mars-19	27-mars-19	28-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	50.6015	13.889	0.5055	9.7015	0.724	0.6985	0.156	76.276	0.663400020976454	0.182088730400126	0.00662724841365567	0.00662724841365567	0.00949184540353453	0.00915753316901778	0.00204520425822015
19LIB028-19MET485	9748P-10sem	9748	panache	10	10	panache_10	rumen	no	7622	Mo	F	31-mars-19	06-avr-19	06-avr-09	30-avr-19	-	-	11-juin-19	09-juil-19	54.743	12.4885	0.419	8.3885	0.5865	0.533	0.047	77.2055	0.709055701990143	0.161756610604167	0.00542707449598798	0.00542707449598798	0.00759660904987339	0.00690365323713984	0.000608764919597697
19LIB028-19MET486	9747M-10sem	9747	mere	10	10	mere_10	rumen	no	7628	Mo	F	31-mars-19	06-avr-19	06-avr-19	30-avr-19	-	-	11-juin-19	11-juin-19	38.7455	10.003	0.3865	2.63	0.4605	0.237	0	52.4625	0.738537050274005	0.190669525851799	0.00736716702406481	0.00736716702406481	0.00877769835596855	0.00451751250893495	0.0
19LIB028-19MET487	9746T-10sem	9746	temoin	10	10	temoin_10	rumen	no	3613	Mo	M - Fem	29-mars-19	04-avr-19	07-avr-19	30-avr-19	-	-	11-juin-19	11-juin-19	52.4925	14.202	0.9955	5.1275	1.5455	0.549	0.0555	74.9675	0.700203421482642	0.189442091573015	0.0132790876046287	0.0132790876046287	0.0206156000933738	0.00732317337512922	0.000740320805682462
19LIB028-19MET488	9749T-10sem	9749	temoin	10	10	temoin_10	rumen	no	4180	Ho	F	02-avr-19	08-avr-19	10-avr-19	30-avr-19	-	-	11-juin-19	25-juin-19	41.484	11.3835	0.2595	6.109	0.2735	0.6405	0.0425	60.1925	0.689188852431781	0.189118245628608	0.00431116833492545	0.00431116833492545	0.00454375545126054	0.0106408605723304	0.000706068031731528
19LIB028-19MET489	9750P-10sem	9750	panache	10	10	panache_10	rumen	no	6640	Ho	F	03-avr-19	09-avr-19	09-avr-19	30-avr-19	-	-	11-juin-19	11-juin-19	75.5415	17.475	0.4415	12.1345	0.791	0.6915	0.0465	107.1215	0.705194568784044	0.163132517748538	0.00412148821665119	0.00412148821665119	0.00738413857162194	0.00645528675382626	0.000434086527914564
19LIB028-19MET490	9751T-10sem	9751	temoin	10	10	temoin_10	rumen	no	3154	Ho	M - Fem	06-avr-19	12-avr-19	12-avr-19	30-avr-19	-		11-juin-19	25-juin-19	50.3905	20.0285	0.315	3.575	0.263	0.6605	0.0385	75.271	0.669454371537511	0.266085212100278	0.00418487863851948	0.00418487863851948	0.00349404152993849	0.00877495981187974	0.000511485166930159
19LIB028-19MET491	9755M-10sem	9755	mere	10	10	mere_10	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	15-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	4.385	1.166	0.005	0.2205	0.0175	0.031	0	5.825	0.752789699570815	0.200171673819742	0.000858369098712446	0.000858369098712446	0.00300429184549356	0.00532188841201717	0.0
19LIB028-19MET492	9756P-10sem	9756	panache	10	10	panache_10	rumen	no	4165	Ho	F	11-avr-19	17-avr-19	17-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	58.7745	11.455	0.3025	7.2665	0.6785	0.3715	0.104	78.9525	0.744428612140211	0.145087235996327	0.00383141762452107	0.00383141762452107	0.00859377473797537	0.00470536081821348	0.00131724771223204
19LIB028-19MET493	9757P-10sem	9757	panache	10	10	panache_10	rumen	no	5722	Ho	F	11-avr-19	17-avr-19	17-avr-19	14-mai-19	-	-	25-juin-19	09-juil-19	51.0365	10.471	0.69	7.333	0.995	0.419	0.0545	70.999	0.718834068085466	0.147480950435922	0.00971844673868646	0.00971844673868646	0.0140142818912942	0.00590149157030381	0.000767616445302046
19LIB028-19MET494	9759M-10sem	9759	mere	10	10	mere_10	rumen	no	3161	Ho	F	14-avr-19	20-avr-19	21-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	40.568	10.0905	0.423	3.0165	0.4555	0.261	0.001	54.8155	0.740082640858881	0.184081144931634	0.00771679543194899	0.00771679543194899	0.00830969342612947	0.00476142696864938	0.0000182430152055532
19LIB028-19MET495	9763P-10sem	9763	panache	10	10	panache_10	rumen	no	3161	Ho	F	14-avr-19	20-avr-19	21-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	62.3735	12.5515	0.7745	13.3065	1.1465	0.944	0.298	91.3945	0.682464480904212	0.137333209328789	0.00847425173287233	0.00847425173287233	0.0125445185432384	0.0103288491101762	0.00326059007927173
19LIB028-19MET496	9764M-10sem	9764	mere	10	10	mere_10	rumen	no	2604	Mo	F	19-avr-19	24-avr-19	24-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	21.7165	5.528	0.2315	1.5635	0.2875	0.168	0.006	29.501	0.736127588895292	0.187383478526152	0.00784719162062303	0.00784719162062303	0.00974543235822514	0.00569472221280634	0.000203382936171655
